ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME
USC00405777,36.2292,-83.8219,337.1,TN,MAYNARDVILLE
USC00406493,36.5517,-84.1728,309.1,TN,NEWCOMB
USC00407184,35.5983,-85.1939,263.3,TN,PIKEVILLE
USC00410394,33.1525,-100.2331,534.6,TX,ASPERMONT
USC00411128,33.1908,-102.2681,1005.8,TX,BROWNFIELD
USC00414670,30.4453,-99.8045,532.5,TX,JUNCTION 4SSW
USC00414967,33.0642,-101.0489,695.6,TX,LAKE ALAN HENRY
USC00415409,33.5281,-101.8761,986.0,TX,LUBBOCK WFO
USC00416074,33.7186,-102.7586,1147.9,TX,MORTON
USC00416135,34.2192,-102.7328,1167.4,TX,MULESHOE #1
USC00417081,34.1981,-101.7461,1051.6,TX,PLAINVIEW WATER PRODUCTION
USC00417327,32.3664,-99.1925,494.1,TX,PUTNAM
USC00417743,32.4481,-100.5264,725.4,TX,ROSCOE
USC00437054,44.42,-72.0194,213.4,VT,SAINT JOHNSBURY
USC00440327,37.7553,-77.485,67.1,VA,ASHLAND
USC00441825,37.1456,-82.4908,477.3,VA,CLINTWOOD 1W
USC00448737,38.8919,-77.2892,118.9,VA,VIENNA
USC00449025,37.5656,-76.8,6.1,VA,W PT 2 NW
USC00455946,48.8994,-117.8289,456.3,WA,NORTHPORT
USC00471604,46.1694,-90.9808,456.6,WI,CLAM LAKE 4W
USC00472425,44.7878,-91.5164,268.2,WI,EAU CLAIRE 3SW
USC00473271,44.5331,-88.0981,211.5,WI,GREEN BAY BOTANICAL
USC00475120,44.6411,-90.1333,377.0,WI,MARSHFIELD EXP FARM
USC00475932,44.3586,-88.7189,243.8,WI,NEW LONDON
USC00476208,44.8919,-87.955,201.2,WI,OCONTO 4 W
USC00476510,45.0281,-87.7358,182.9,WI,PESHTIGO
USC00477115,45.6528,-89.3075,483.4,WI,RHINELANDER 4NE
USC00478376,44.9958,-88.3786,241.4,WI,SURING
USC00478951,44.3547,-89.0594,255.1,WI,WAUPACA
USC00480951,42.7156,-109.6894,2115.3,WY,BOULDER REARING STN
USW00003812,35.4317,-82.5378,645.6,NC,ASHEVILLE AP
USW00003870,34.8833,-82.2197,325.8,SC,GREER
USW00003952,34.8364,-92.2622,197.8,AR,LITTLE ROCK
USW00012815,28.4183,-81.3242,27.1,FL,ORLANDO INTL AP
USW00012816,29.6917,-82.2761,40.5,FL,GAINESVILLE RGNL AP
USW00012924,27.7839,-97.5114,43.3,TX,CORPUS CHRISTI
USW00013722,35.8922,-78.7819,120.4,NC,RALEIGH AP
USW00013729,38.89,-79.8556,595.9,WV,ELKINS- RANDOLPH CO AP
USW00013733,37.3214,-79.2064,274.9,VA,LYNCHBURG RGNL AP
USW00013741,37.3172,-79.9736,346.9,VA,ROANOKE-BLACKSBURG RGNL AP
USW00013781,39.6744,-75.6056,22.6,DE,WILMINGTON NEW CASTLE CO AP
USW00013870,31.54,-82.5072,58.2,GA,ALMA BACON CO AP
USW00013877,36.4797,-82.3989,456.0,TN,BRISTOL AP
USW00013881,35.2225,-80.9544,222.5,NC,CHARLOTTE DOUGLAS AP
USW00013882,35.0336,-85.2003,203.9,TN,CHATTANOOGA AP
USW00013889,30.4847,-81.7019,48.8,FL,JACKSONVILLE
USW00013894,30.6794,-88.24,88.1,AL,MOBILE
USW00013957,32.4508,-93.8414,118.0,LA,SHREVEPORT
USW00013964,35.3333,-94.3653,136.6,AR,FT SMITH RGNL AP
USW00013968,36.1986,-95.8783,194.8,OK,TULSA INTL AP
USW00013980,37.155,-98.0283,408.4,KS,ANTHONY
USW00013994,38.7525,-90.3733,161.8,MO,ST LOUIS LAMBERT INTL AP
USW00014607,46.8706,-68.0172,188.7,ME,CARIBOU WFO
USW00014733,42.9489,-78.7367,240.8,NY,BUFFALO
USW00014740,41.9375,-72.6819,51.5,CT,HARTFORD-BRADLEY INTL AP
USW00014742,44.4683,-73.15,101.2,VT,BURLINGTON INTL AP
USW00014765,41.7225,-71.4325,15.5,RI,PROVIDENCE
USW00014821,39.9906,-82.8769,246.9,OH,JOHN GLENN INTL AP
USW00014827,40.9725,-85.2064,242.9,IN,FT WAYNE INTL AP
USW00014837,43.1406,-89.3453,261.8,WI,MADISON DANE CO RGNL AP
USW00014839,42.955,-87.9044,203.3,WI,MILWAUKEE MITCHELL AP
USW00014897,44.9275,-89.6253,366.1,WI,WAUSAU ASOS
USW00014898,44.4986,-88.1111,250.9,WI,GREEN BAY
USW00014922,44.8853,-93.2314,254.5,MN,MINNEAPOLIS-ST PAUL INTL AP
USW00014942,41.3119,-95.9019,298.7,NE,OMAHA EPPLEY AIRFIELD
USW00023050,35.0419,-106.6156,1618.5,NM,ALBUQUERQUE INTL AP
USW00023061,37.4394,-105.8617,2297.3,CO,ALAMOSA-BERGMAN FLD
USW00023185,39.5078,-119.7683,1342.6,NV,RENO AP
USW00024033,45.8072,-108.5461,1094.2,MT,BILLINGS INTL AP
USW00024121,40.8239,-115.7864,1540.5,NV,ELKO RGNL AP
USW00024143,47.4733,-111.3828,1117.7,MT,GREAT FALLS AP
USW00093058,38.2886,-104.5058,1424.6,CO,PUEBLO MEM AP
USW00093730,39.4519,-74.5669,17.7,NJ,ATLANTIC CITY INTL AP
USW00093814,39.0444,-84.6725,262.4,KY,CINCINNATI/NORTHERN KENTUCKY I
USW00093815,39.9064,-84.2186,302.7,OH,DAYTON INTL AP
USW00093820,38.0339,-84.6114,293.2,KY,LEXINGTON BLUEGRASS AP
USW00094822,42.1933,-89.0933,221.0,IL,ROCKFORD GTR ROCKFORD AP
USW00094849,45.0717,-83.5644,208.2,MI,ALPENA CO RGNL AP
USW00094908,42.3983,-90.7092,317.0,IA,DUBUQUE RGNL AP
